epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,2245.63,1.2349,0.68773,0.96654,0.98192,0.98131,0.99406,0.71377,1.07151,0.69794,0.98358,0.001208,0.001208,0.001208
122,2265.25,1.20945,0.68787,0.9913,0.98948,0.99065,0.99425,0.73171,1.01515,0.69212,0.96699,0.0012014,0.0012014,0.0012014
123,2284.64,1.21347,0.6701,0.96626,0.98948,0.99065,0.99425,0.73171,1.01515,0.69212,0.96699,0.0011948,0.0011948,0.0011948
124,2304.62,1.24423,0.68798,1.01051,0.98379,0.98131,0.99349,0.74313,0.98606,0.67629,0.95483,0.0011882,0.0011882,0.0011882
125,2324.77,1.22977,0.69551,0.97221,0.98379,0.98131,0.99349,0.74313,0.98606,0.67629,0.95483,0.0011816,0.0011816,0.0011816
126,2348.43,1.28816,0.79695,1.0974,0.95416,1,0.99099,0.67452,1.16601,0.7241,1.00729,0.001175,0.001175,0.001175
127,2368.68,1.30038,0.75479,1.0657,0.95416,1,0.99099,0.67452,1.16601,0.7241,1.00729,0.0011684,0.0011684,0.0011684
128,2388.55,1.2032,0.73647,1.04633,0.96234,1,0.98976,0.66495,1.18605,0.75698,1.00058,0.0011618,0.0011618,0.0011618
129,2408.62,1.29337,0.75385,1.03766,0.96234,1,0.98976,0.66495,1.18605,0.75698,1.00058,0.0011552,0.0011552,0.0011552
130,2427.82,1.20739,0.70884,1.02922,0.98164,0.99958,0.99251,0.70291,1.05153,0.69305,0.95949,0.0011486,0.0011486,0.0011486
131,2445.36,1.17496,0.67281,0.94374,0.98164,0.99958,0.99251,0.70291,1.05153,0.69305,0.95949,0.001142,0.001142,0.001142
132,2463.35,1.19322,0.72084,0.94292,0.97799,0.99065,0.99377,0.66738,1.1318,0.67814,0.99029,0.0011354,0.0011354,0.0011354
133,2480.69,1.20183,0.7483,1.01572,0.97799,0.99065,0.99377,0.66738,1.1318,0.67814,0.99029,0.0011288,0.0011288,0.0011288
134,2498.69,1.22556,0.70272,1.0239,0.9721,0.99065,0.99368,0.6802,1.11903,0.68641,0.99224,0.0011222,0.0011222,0.0011222
135,2516.19,1.20533,0.68204,0.99185,0.9721,0.99065,0.99368,0.6802,1.11903,0.68641,0.99224,0.0011156,0.0011156,0.0011156
136,2534.18,1.25842,0.6698,0.98976,0.97236,0.99065,0.99387,0.71639,1.00717,0.67518,0.95657,0.001109,0.001109,0.001109
137,2551.55,1.06497,0.69797,0.95296,0.97236,0.99065,0.99387,0.71639,1.00717,0.67518,0.95657,0.0011024,0.0011024,0.0011024
138,2569.49,1.09031,0.64352,0.94188,0.98128,0.97966,0.99454,0.71778,1.01935,0.66562,0.95306,0.0010958,0.0010958,0.0010958
139,2586.78,1.09117,0.64703,0.93181,0.98128,0.97966,0.99454,0.71778,1.01935,0.66562,0.95306,0.0010892,0.0010892,0.0010892
140,2604.41,1.13492,0.62515,0.92135,0.96179,0.99065,0.99387,0.71918,1.03474,0.65228,0.95788,0.0010826,0.0010826,0.0010826
141,2622.12,1.10475,0.65275,0.93723,0.96179,0.99065,0.99387,0.71918,1.03474,0.65228,0.95788,0.001076,0.001076,0.001076
142,2639.66,1.09376,0.63151,0.92787,0.98139,0.98584,0.99377,0.7401,0.99893,0.65376,0.94788,0.0010694,0.0010694,0.0010694
143,2657.63,1.13466,0.66278,0.96022,0.98139,0.98584,0.99377,0.7401,0.99893,0.65376,0.94788,0.0010628,0.0010628,0.0010628
144,2675.54,1.15358,0.65116,0.95422,0.98148,0.9904,0.9931,0.72757,1.02087,0.65254,0.9529,0.0010562,0.0010562,0.0010562
145,2693.67,1.1929,0.66631,0.95444,0.98148,0.9904,0.9931,0.72757,1.02087,0.65254,0.9529,0.0010496,0.0010496,0.0010496
146,2712.86,1.15268,0.66993,0.91255,0.97803,0.99065,0.9933,0.73677,0.97484,0.62027,0.93892,0.001043,0.001043,0.001043
147,2731.42,0.9871,0.58999,0.93075,0.97803,0.99065,0.9933,0.73677,0.97484,0.62027,0.93892,0.0010364,0.0010364,0.0010364
148,2750.28,0.96888,0.61305,0.93563,0.98059,0.99065,0.99292,0.75458,0.94789,0.61412,0.93303,0.0010298,0.0010298,0.0010298
149,2768.79,1.04643,0.63392,0.93844,0.98059,0.99065,0.99292,0.75458,0.94789,0.61412,0.93303,0.0010232,0.0010232,0.0010232
150,2787.72,0.97366,0.62192,0.94027,0.9816,0.99732,0.99359,0.73364,1.01258,0.62794,0.9493,0.0010166,0.0010166,0.0010166
151,2806.27,1.23778,0.67937,1.05563,0.9816,0.99732,0.99359,0.73364,1.01258,0.62794,0.9493,0.00101,0.00101,0.00101
152,2824.37,1.05897,0.60808,0.9161,0.9816,0.99725,0.99369,0.74301,0.99389,0.60194,0.94245,0.0010034,0.0010034,0.0010034
